up_streak,up_bigdays_20d,close,range_pct,y21,ma_stack,ma60_slope_60d,end_of_window_ret,max_fwd21_ret,run_length,macd,y5_touch,vol_5d,rsi_14,argmax_day_fwd21,rv_60,bb_z20,macd_hist,ticker,vol_z,atr_pct,macd_sig,dist_ma60_atr,date,sector,sector_pop_5d,finbert_max_5d,finbert_max_20d,finbert_mean_5d,news_n_5d,news_n_20d,earn_news_5d,earn_news_20d,ma_news_5d,ma_news_20d,spy_ret_5d,spy_ret_20d,spy_rv_20,spy_rv_60,vix,vix_chg_5d,fng,close_5d_ago,ret_5d_lag,close_20d_ago,ret_20d_lag,close_60d_ago,ret_60d_lag,close_180d_ago,ret_180d_lag,rsi_14_xrank,rv_60_xrank,ma60_slope_xrank,ret_20d_xrank,max_60d,min_60d,dd_60d,prob_cal,raw_margin,ext_level,ext_reason,ext_safe,ext_priority
1,9.0,181.5850067138672,0.0771539168369346,-1,0,0.3009449073858161,,,0,-0.0130585049997438,-1,0.7903849407722697,39.57777335058428,-1,1.8597076766410143,-0.9484499721676056,-0.2106326059097128,CAR,-1.0172536115565909,0.5866162636084625,0.197574100909969,-0.0233154274398541,2026-05-01,,0,0.8827075250446796,0.9107149057090282,-0.0175468573967615,15.0,60.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,204.0,-0.10987741806927853,190.4199981689453,-0.0463973928160607,122.88999938964844,0.4776223257851435,161.25,0.12610856876816867,0.18497109826589594,0.9978323699421965,0.9747109826589595,0.13800578034682082,713.969970703125,87.69000244140625,-0.8771797049740786,0.32085106382978723,0.8653779840012096,FRESH,no prior run (20d -5%),True,10
0,6.0,10.170000076293944,0.1120943344244167,-1,0,0.977794153198166,,,0,-0.093474260491698,-1,2.3743160271022514,36.68690474447607,-1,1.3122090839926144,-1.6717463080870896,-0.1354632690003402,ERAS,-0.4262179587424846,0.2505899746230736,0.0419890085086421,-1.933817193155249,2026-05-01,,0,0.8553381692618132,0.9356644544750452,-0.0091749926097691,15.0,27.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,21.489999771118164,-0.5267566224006163,17.809999465942383,-0.4289724659598233,11.239999771118164,-0.09519570432498115,1.6200000047683716,5.277777806394547,0.14378612716763006,0.990606936416185,1.0,0.000722543352601156,22.46999931335449,9.109999656677246,-0.5945705413856892,0.32085106382978723,0.7617752387698787,EXTREME,"60d -10%, 180d +528%, 20d -43% — multi-leg run already exhausted",False,99
0,5.0,27.21999931335449,0.0675936484027636,-1,0,0.9581312970126356,,,0,-0.1161427329540592,-1,0.5134955232451904,19.245721233135995,-1,1.8622002304369984,-1.1551880498657496,-0.0587153196894397,BNAI,-0.7294098680728052,0.1830242954319139,-0.0574274132646194,-1.5158310079736377,2026-05-01,,0,0.5564893502742052,0.9348305817693472,-0.1684909493972857,15.0,51.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,30.020000457763672,-0.09327118926425781,41.65999984741211,-0.3466154725623366,22.270000457763672,0.22227205899608182,3.109999895095825,7.752411650006113,0.010115606936416185,0.9985549132947977,0.9992774566473989,0.002167630057803468,56.95000076293945,17.610000610351562,-0.69078138060691,0.32085106382978723,0.6016054835669797,EXTREME,"60d +22%, 180d +775%, 20d -35% — multi-leg run already exhausted",False,99
4,11.0,76.90989685058594,0.1228697235737,-1,1,0.0851537333905116,,,23,0.1690988262301389,-1,2.2465611946663637,88.11350315106534,-1,1.81173420142355,2.081841470459642,0.0628322449667891,MXL,0.0441408036501787,0.0999127341747705,0.1062665812633498,6.91191349673064,2026-05-01,,0,0.9270999561995268,0.9270999561995268,0.1434358110030492,15.0,21.0,1,1,1,1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,60.31999969482422,0.2750314529127098,17.979999542236328,3.277524961550694,17.229999542236328,3.4637201911732376,15.979999542236328,3.812884796855429,0.9920520231213873,0.9956647398843931,0.6206647398843931,1.0,76.90989685058594,15.720000267028809,-0.7956049752924738,0.32085106382978723,0.4452756583461225,EXTREME,"60d +346%, 180d +381%, 20d +328% — multi-leg run already exhausted",False,99
3,9.0,95.09919738769533,0.187173010295678,-1,1,0.3755901321626593,,,17,0.0798431046746781,-1,0.8197389957231355,65.77438978181642,-1,1.8934053960913355,1.88787764617626,0.004978693419562,AXTI,0.2005861579340446,0.1185529095125542,0.0748644112551161,3.904729916521038,2026-05-01,,0,0.9265530575066804,0.9335339907556772,0.0760256327067812,15.0,36.0,1,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,76.16000366210938,0.24867637624613792,52.84000015258789,0.7997577046380411,18.75,4.071957194010418,2.180000066757202,42.62348370436404,0.7854046242774566,0.9992774566473989,0.9920520231213873,0.9934971098265896,95.09919738769533,20.43000030517578,-0.785171685288911,0.32085106382978723,0.40999849635628555,EXTREME,"60d +407%, 180d +4262%, 20d +80% — multi-leg run already exhausted",False,99
3,9.0,24.55500030517578,0.1062919434154022,-1,1,-0.0361874650390625,,,15,0.0867060121830933,-1,0.9767400528595382,71.97421632746764,-1,1.5121835878641796,1.919230980502751,0.032361936386128,ALMU,-0.009837448227427,0.1191872362408242,0.0543440757969652,3.049455661394981,2026-05-01,,0,0.899796808604151,0.9339854959398508,0.195922357061257,15.0,18.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,19.20499992370605,0.2785733091759015,13.4399995803833,0.8270090083198862,14.760000228881836,0.6636178810571725,21.479999542236328,0.14315646315043207,0.8901734104046243,0.9942196531791907,0.29985549132947975,0.994942196531792,24.55500030517578,10.729999542236328,-0.5630218118965111,0.32085106382978723,0.3867947259159124,EXTREME,"60d +66%, 180d +14%, 20d +83% — multi-leg run already exhausted",False,99
1,9.0,154.92999267578125,0.1032724505027433,-1,0,0.1504459098078441,,,1,0.047986935521871,-1,0.8888682768382282,50.24755447055932,-1,1.0571164631817362,0.5379016654275042,-0.0153413618337865,NBIS,-1.1489144133269893,0.0745175368519238,0.0633282973556575,3.2988945270048173,2026-05-01,,0,0.9233019314706326,0.931923508644104,-0.0180745875462889,15.0,60.0,0,0,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,147.16000366210938,0.05279959785481081,108.81999969482422,0.42372719270601267,82.38999938964844,0.8804465811811477,70.62999725341797,1.1935438015082718,0.3995664739884393,0.976878612716763,0.7911849710982659,0.9617052023121387,166.77000427246094,73.87000274658203,-0.5570546210102825,0.32085106382978723,0.3488582668701492,EXTREME,"60d +88%, 180d +119%, 20d +42% — multi-leg run already exhausted",False,99
3,9.0,187.8300018310547,0.1802156149816724,-1,1,0.375401069727783,,,21,0.0828182728523097,-1,0.7431022478046364,61.01640877711232,-1,1.830255136649928,2.2931277444207656,0.0042755673007245,AAOI,-0.776738235644145,0.0976543689863922,0.0785427055515851,4.64517950370597,2026-05-01,,0,0.9334375318139791,0.9344474300742148,0.2348459707573055,15.0,60.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,162.1699981689453,0.1582290432992255,103.91000366210938,0.8076219344754638,39.900001525878906,3.7075186628559216,23.020000457763672,7.15942650286558,0.6929190751445087,0.9971098265895953,0.9913294797687862,0.9942196531791907,187.8300018310547,38.130001068115234,-0.7969972810711486,0.32085106382978723,0.34280804949260973,EXTREME,"60d +371%, 180d +716%, 20d +81% — multi-leg run already exhausted",False,99
1,8.0,201.9149932861328,0.0619568144099983,-1,1,-0.0937944207308848,,,19,0.0910341966338903,-1,0.8591939226684966,67.39302599525973,-1,1.052205998325649,1.0213113537494538,0.0069080740776022,ALAB,-1.35612697520823,0.0699700472553346,0.084126122556288,4.2601856357727765,2026-05-01,,0,0.9205254791304468,0.9413426090031862,0.1685920216764012,15.0,60.0,0,1,0,0,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,212.83999633789065,-0.05132965250767074,117.13999938964844,0.7237066274389605,144.6699981689453,0.3956936188686262,193.63999938964844,0.04273390788353182,0.8222543352601156,0.9754335260115607,0.21026011560693642,0.9913294797687862,212.83999633789065,100.2699966430664,-0.5288949522255939,0.32085106382978723,0.3164637616036569,EXTREME,"60d +40%, 180d +4%, 20d +72% — multi-leg run already exhausted",False,99
0,10.0,33.15999984741211,0.0690591352854322,-1,1,0.3169531557819526,,,23,0.1435415870451943,-1,0.9377637637738024,77.24391107414787,-1,1.4456715981837984,1.3986563900648867,0.0299743266382354,WATT,-1.00299457005633,0.1091612103200281,0.1135672604069589,4.625757215123209,2026-05-01,,0,0.9343446977436544,0.9343446977436544,-0.0650994615939756,15.0,15.0,0,1,0,1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,28.190000534057617,0.1763036260801063,15.739999771118164,1.1067344555022465,8.829999923706055,2.755379403615495,8.100000381469727,3.093826948856921,0.9501445086705202,0.9927745664739884,0.9819364161849711,0.9978323699421965,35.33000183105469,8.550000190734863,-0.7579960445057349,0.32085106382978723,0.30777479878943126,EXTREME,"60d +276%, 180d +309%, 20d +111% — multi-leg run already exhausted",False,99
